"Excel CSV """"date format""""",,,,,,,,,,,,,,,
"Reference date","Open market operations excl. MonPol portfolios","Marginal lending facility","Deposit facility","Net liquidity effect from Autonomous Factors and MonPol portfolios","Current accounts","Reserve requirements","Excess liquidity","Covered bonds purchase programme","Securities markets programme","Covered bonds purchase programme 2","Covered bonds purchase programme 3","ABS purchase programme","Public sector purchase programme","Corporate sector purchase programme","Pandemic emergency purchase programme"
31/08/20,1595885,0,483021,-1444918,2557782,142384,2898419,,,,,,,,
01/09/20,1595885,4,500980,-1495844,2590752,142384,2949344,,,,,,,,
02/09/20,1595820,0,488881,-1503361,2610300,142384,2956797,,,,,,,,
03/09/20,1596613,0,478705,-1502855,2620763,142384,2957084,,,,,,,,
04/09/20,1596613,0,493170,-1518472,2621915,142384,2972701,462,32554,2827,285336,29542,2273706,229448,512292
07/09/20,1596613,0,477675,-1515120,2634058,142384,2969350,,,,,,,,
08/09/20,1596613,0,479245,-1523595,2640964,142384,2977825,,,,,,,,
09/09/20,1596711,0,477748,-1526078,2645041,142384,2980405,,,,,,,,
10/09/20,1596711,8,476021,-1524618,2645315,142384,2978945,,,,,,,,
11/09/20,1596711,0,500081,-1526513,2623143,142384,2980841,462,32554,2764,285297,29609,2279776,231127,526643
14/09/20,1596711,0,491268,-1529109,2632627,142384,2983436,,,,,,,,
15/09/20,1596711,0,490672,-1504892,2610932,142384,2959219,,,,,,,,
16/09/20,1596724,4,313722,-1479346,2762352,143568,2932502,,,,,,,,
17/09/20,1596724,0,336341,-1477490,2737873,143568,2930646,,,,,,,,
18/09/20,1596724,0,328774,-1464184,2732134,143568,2917340,462,32554,2764,285990,29508,2285899,233073,542733
21/09/20,1596724,0,328266,-1459321,2727780,143568,2912477,,,,,,,,
22/09/20,1596724,4,327238,-1466710,2736200,143568,2919866,,,,,,,,
23/09/20,1596905,0,335163,-1459957,2721700,143568,2913294,,,,,,,,
24/09/20,1596905,1,324978,-1459152,2731080,143568,2912489,,,,,,,,
25/09/20,1596905,0,333823,-1459162,2722244,143568,2912499,462,32554,2764,287735,29261,2294510,235756,559454
28/09/20,1596905,0,370228,-1472973,2699650,143568,2926310,,,,,,,,
29/09/20,1596905,1,347862,-1488761,2737805,143568,2942098,,,,,,,,
30/09/20,1754116,55,404584,-1474130,2823717,143568,3084678,,,,,,,,
01/10/20,1753336,0,461926,-1544090,2835500,143568,3153858,,,,,,,,
02/10/20,1753336,0,495354,-1549727,2807710,143568,3159495,462,32618,2764,286724,29165,2294473,236939,571309
05/10/20,1753336,0,539265,-1554324,2768395,143568,3164092,,,,,,,,
06/10/20,1753336,0,532280,-1556087,2777143,143568,3165855,,,,,,,,
07/10/20,1753283,0,529190,-1564354,2788447,143568,3174069,,,,,,,,
08/10/20,1754291,0,519929,-1567633,2801996,143568,3178356,,,,,,,,
09/10/20,1754291,0,550570,-1583863,2787585,143568,3194587,452,32618,2764,286785,29157,2304949,237179,584734
12/10/20,1754291,0,524313,-1582953,2812931,143568,3193676,,,,,,,,
13/10/20,1754291,0,550042,-1587151,2791401,143568,3197874,,,,,,,,
14/10/20,1754133,0,548970,-1592910,2798074,143568,3203475,,,,,,,,
15/10/20,1754133,0,508698,-1562753,2808188,143568,3173318,,,,,,,,
16/10/20,1754133,0,533951,-1568765,2788947,143568,3179330,452,32618,2764,286704,29379,2303066,239316,600592
19/10/20,1754133,0,543465,-1572541,2783209,143568,3183106,,,,,,,,
20/10/20,1754133,0,543556,-1572551,2783129,143568,3183116,,,,,,,,
21/10/20,1754130,0,510935,-1565379,2808574,143568,3175941,,,,,,,,
22/10/20,1754130,0,544070,-1576343,2786403,143568,3186905,,,,,,,,
23/10/20,1754130,19,118264,-1606338,3242223,143568,3216900,452,31151,2764,287426,29173,2309799,241524,616856
26/10/20,1754130,0,593409,-1591991,2752713,143568,3202553,,,,,,,,
27/10/20,1754130,0,603631,-1586523,2737022,143568,3197085,,,,,,,,
28/10/20,1754159,2,601196,-1593056,2746021,143568,3203647,,,,,,,,
29/10/20,1754104,1,596083,-1587485,2745507,143568,3198021,,,,,,,,
30/10/20,1754104,20,620202,-1616044,2749965,143568,3226579,452,31151,2764,285889,29401,2309322,243331,627626
02/11/20,1754104,0,644254,-1666947,2776796,143568,3277482,,,,,,,,
03/11/20,1754104,0,646784,-1674581,2781901,143568,3285117,,,,,,,,
04/11/20,1753993,0,432459,-1682729,3004263,144013,3292709,,,,,,,,
05/11/20,1754740,0,436777,-1693289,3011251,144013,3304016,,,,,,,,
06/11/20,1754740,4,441049,-1701554,3015249,144013,3312281,452,28605,2764,286186,29417,2312047,245074,641644
09/11/20,1754740,1,447391,-1704381,3011731,144013,3315108,,,,,,,,
10/11/20,1754740,1,447894,-1709903,3016750,144013,3320630,,,,,,,,
11/11/20,1754398,0,447680,-1717352,3024069,144013,3327737,,,,,,,,
12/11/20,1754398,0,446791,-1716874,3024480,144013,3327259,,,,,,,,
13/11/20,1754398,0,470876,-1715727,2999249,144013,3326112,452,28605,2764,286435,29657,2320340,246058,661709
16/11/20,1754398,127,483654,-1697507,2968377,144013,3307892,,,,,,,,
17/11/20,1754398,0,531916,-1681971,2904452,144013,3292356,,,,,,,,
18/11/20,1754285,435,542686,-1671533,2883567,144013,3281805,,,,,,,,
19/11/20,1754285,19,539054,-1666861,2882110,144013,3277133,,,,,,,,
20/11/20,1754285,0,545329,-1675433,2884389,144013,3285705,452,28605,2764,287699,29995,2330356,246997,680894
23/11/20,1754285,68,537333,-1674843,2891863,144013,3285115,,,,,,,,
24/11/20,1754285,0,538589,-1676613,2892308,144013,3286885,,,,,,,,
25/11/20,1754408,1,557803,-1672345,2868951,144013,3282740,,,,,,,,
26/11/20,1754458,0,563149,-1671054,2862362,144013,3281499,,,,,,,,
27/11/20,1754458,0,567695,-1709372,2896135,144013,3319817,452,28605,2764,286381,30252,2329263,248219,696575
30/11/20,1754458,15,594088,-1753349,2913734,144013,3363794,,,,,,,,
01/12/20,1754458,34,592096,-1796027,2958423,144013,3406472,,,,,,,,
02/12/20,1754121,45,608137,-1784115,2930144,144013,3394223,,,,,,,,
03/12/20,1756002,3,590695,-1784431,2949740,144013,3396420,,,,,,,,
04/12/20,1756002,41,596651,-1802890,2962281,144013,3414879,452,28605,2764,286817,30169,2337446,250203,717918
07/12/20,1756002,0,591425,-1803357,2967934,144013,3415346,,,,,,,,
08/12/20,1756002,0,598661,-1819042,2976382,144013,3431031,,,,,,,,
09/12/20,1755988,1,605294,-1843484,2994179,144013,3455459,,,,,,,,
10/12/20,1755988,0,595380,-1838802,2999410,144013,3450777,,,,,,,,
11/12/20,1755988,0,571791,-1854320,3038517,144013,3466295,452,28605,2764,287430,30192,2344025,250964,736643
14/12/20,1755988,0,591532,-1848073,3012529,144013,3460048,,,,,,,,
15/12/20,1755988,0,585835,-1844064,3014217,144013,3456039,,,,,,,,
16/12/20,1792950,5,531874,-1821945,3083026,145534,3469360,,,,,,,,
17/12/20,1792918,5,557639,-1821469,3056753,145534,3468853,,,,,,,,
18/12/20,1792918,5,563718,-1807633,3036838,145534,3455017,452,28605,2764,287927,30052,2346965,250917,752300
21/12/20,1792918,4,555068,-1809320,3047173,145534,3456703,,,,,,,,
22/12/20,1792918,1,601431,-1817684,3009172,145534,3465067,,,,,,,,
23/12/20,1792836,0,596155,-1803157,2999838,145534,3450458,,,,,,,,
25/12/20,1792836,3,591423,-1778024,2979440,145534,3425326,452,28605,2764,288026,29724,2348384,251000,755902
28/12/20,1792836,0,645399,-1749960,2897397,145534,3397261,,,,,,,,
29/12/20,1792836,44,647590,-1740763,2886052,145534,3388064,,,,,,,,
30/12/20,1793042,83,662938,-1738572,2868758,145534,3386079,,,,,,,,
